cell,arm,seed,frac_at_min,tot_w_final,budget,deficit_pct,alive
cortical,off,30,0.0,0.10699999999999256,0.107,-6.951863799054718e-12,True
cortical,off,31,0.0,0.10699999999998218,0.107,-1.6653345369377348e-11,True
cortical,off,32,0.0,0.10602083333332245,0.107,-0.9151090342780842,True
cortical,off,33,0.0,0.1060208333333254,0.107,-0.9151090342753215,True
cortical,on,30,0.19533527696793002,0.10526211177680628,0.107,-1.6241946011156265,True
cortical,on,31,0.25588235294117645,0.10501366570657529,0.107,-1.8563871901165492,True
cortical,on,32,0.2543352601156069,0.10411272279965521,0.107,-2.6983899068642896,True
cortical,on,33,0.18208092485549132,0.10439584351056712,0.107,-2.4337911116195134,True
Hodgkin-Huxley,off,30,0.0,0.10699999999999256,0.107,-6.951863799054718e-12,True
Hodgkin-Huxley,off,31,0.0,0.10699999999998218,0.107,-1.6653345369377348e-11,True
Hodgkin-Huxley,off,32,0.0,0.10602083333332245,0.107,-0.9151090342780842,True
Hodgkin-Huxley,off,33,0.0,0.1060208333333254,0.107,-0.9151090342753215,True
Hodgkin-Huxley,on,30,0.13702623906705538,0.09670467658982451,0.107,-9.621797579603257,True
Hodgkin-Huxley,on,31,0.1588235294117647,0.09640833221518957,0.107,-9.898754939075163,True
Hodgkin-Huxley,on,32,0.14739884393063585,0.09602007883709103,0.107,-10.261608563466325,True
Hodgkin-Huxley,on,33,0.1676300578034682,0.0954328148814187,0.107,-10.810453381851675,True
